# ----------------------------------------
# The Headache Lab
# 5 day source / medium-Free form 1
# 20260323-20260327
# ----------------------------------------

Session source / medium,New users,Active users,Returning users,Total users,Sessions,Engagement rate,Average engagement time per session
,28,35,15,36,58,0.4827586206896552,43.62068965517241,Grand total
(direct) / (none),14,17,5,17,28,0.42857142857142855,33.142857142857146
google / organic,11,15,9,16,26,0.5,57.11538461538461
bing / organic,2,2,1,2,3,0.6666666666666666,34
duckduckgo / organic,1,1,0,1,1,1,15

