# ----------------------------------------
# The Headache Lab
# 5 day source / medium-Free form 1
# 20260406-20260410
# ----------------------------------------

Session source / medium,New users,Active users,Returning users,Total users,Sessions,Engagement rate,Average engagement time per session
,37,43,13,45,61,0.45901639344262296,35,Grand total
google / organic,25,28,9,30,39,0.5128205128205128,51.53846153846154
(direct) / (none),12,14,3,14,16,0.4375,6.625
l.facebook.com / referral,0,1,1,1,6,0.16666666666666666,3.1666666666666665

